,date,%20da
0,2003-02-05,31.96
1,2003-02-06,29.61
2,2003-02-07,27.32
3,2003-02-10,29.21
4,2003-02-11,28.83
5,2003-02-12,24.98
6,2003-02-13,23.14
7,2003-02-14,29.36
8,2003-02-18,43.15
9,2003-02-19,39.56
10,2003-02-20,40.02
11,2003-02-21,52.21
12,2003-02-24,41.38
13,2003-02-25,46.37
14,2003-02-26,42.26
15,2003-02-27,50.6
16,2003-02-28,52.96
17,2003-03-03,52.4
18,2003-03-04,47.62
19,2003-03-05,49.11
20,2003-03-06,45.74
21,2003-03-07,46.07
22,2003-03-10,36.68
23,2003-03-11,35.16
24,2003-03-12,32.29
25,2003-03-13,45.39
26,2003-03-14,45.62
27,2003-03-17,60.8
28,2003-03-18,62.18
29,2003-03-19,61.79
30,2003-03-20,63.2
31,2003-03-21,67.79
32,2003-03-24,58.54
33,2003-03-25,65.28
34,2003-03-26,61.32
35,2003-03-27,62.54
36,2003-03-28,64.03
37,2003-03-31,56.29
38,2003-04-01,64.88
39,2003-04-02,75.23
40,2003-04-03,72.2
41,2003-04-04,70.64
42,2003-04-07,72.39
43,2003-04-08,69.05
44,2003-04-09,63.61
45,2003-04-10,63.92
46,2003-04-11,59.0
47,2003-04-14,68.5
48,2003-04-15,72.11
49,2003-04-16,67.22
50,2003-04-17,75.61
51,2003-04-21,75.13
52,2003-04-22,80.75
53,2003-04-23,82.21
54,2003-04-24,79.55
55,2003-04-25,73.29
56,2003-04-28,79.54
57,2003-04-29,78.39
58,2003-04-30,77.9
59,2003-05-01,77.02
60,2003-05-02,83.06
61,2003-05-05,83.01
62,2003-05-06,84.28
63,2003-05-07,81.92
64,2003-05-08,77.95
65,2003-05-09,82.79
66,2003-05-12,84.08
67,2003-05-13,81.93
68,2003-05-14,79.2
69,2003-05-15,79.83
70,2003-05-16,74.11
71,2003-05-19,60.49
72,2003-05-20,59.71
73,2003-05-21,60.85
74,2003-05-22,65.99
75,2003-05-23,67.57
76,2003-05-27,75.9
77,2003-05-28,77.74
78,2003-05-29,76.88
79,2003-05-30,83.49
80,2003-06-02,84.11
81,2003-06-03,83.74
82,2003-06-04,86.98
83,2003-06-05,87.54
84,2003-06-06,85.29
85,2003-06-09,79.68
86,2003-06-10,84.19
87,2003-06-11,85.24
88,2003-06-12,84.38
89,2003-06-13,77.97
90,2003-06-16,82.77
91,2003-06-17,79.99
92,2003-06-18,76.52
93,2003-06-19,66.0
94,2003-06-20,62.24
95,2003-06-23,44.77
96,2003-06-24,44.58
97,2003-06-25,43.41
98,2003-06-26,47.81
99,2003-06-27,45.67
100,2003-06-30,45.56
101,2003-07-01,49.27
102,2003-07-02,62.86
103,2003-07-03,59.23
104,2003-07-07,68.65
105,2003-07-08,70.49
106,2003-07-09,70.46
107,2003-07-10,62.45
108,2003-07-11,67.36
109,2003-07-14,70.15
110,2003-07-15,66.39
111,2003-07-16,61.36
112,2003-07-17,47.69
113,2003-07-18,53.17
114,2003-07-21,42.91
115,2003-07-22,48.16
116,2003-07-23,49.39
117,2003-07-24,48.11
118,2003-07-25,52.06
119,2003-07-28,53.53
120,2003-07-29,50.37
121,2003-07-30,48.74
122,2003-07-31,49.81
123,2003-08-01,40.52
124,2003-08-04,37.43
125,2003-08-05,31.16
126,2003-08-06,30.4
127,2003-08-07,31.61
128,2003-08-08,34.71
129,2003-08-11,40.19
130,2003-08-12,51.16
131,2003-08-13,50.04
132,2003-08-14,54.52
133,2003-08-15,56.08
134,2003-08-18,63.95
135,2003-08-19,68.82
136,2003-08-20,69.67
137,2003-08-21,72.46
138,2003-08-22,65.16
139,2003-08-25,63.6
140,2003-08-26,66.69
141,2003-08-27,70.33
142,2003-08-28,74.18
143,2003-08-29,76.95
144,2003-09-02,82.98
145,2003-09-03,84.56
146,2003-09-04,84.26
147,2003-09-05,80.87
148,2003-09-08,84.88
149,2003-09-09,79.27
150,2003-09-10,65.99
151,2003-09-11,69.41
152,2003-09-12,69.89
153,2003-09-15,66.2
154,2003-09-16,74.01
