,date,%20da
155,2003-09-17,71.59
156,2003-09-18,74.69
157,2003-09-19,74.33
158,2003-09-22,64.94
159,2003-09-23,67.09
160,2003-09-24,54.27
161,2003-09-25,42.14
162,2003-09-26,33.55
163,2003-09-29,38.65
164,2003-09-30,37.32
165,2003-10-01,53.08
166,2003-10-02,56.21
167,2003-10-03,65.42
168,2003-10-06,70.13
169,2003-10-07,73.34
170,2003-10-08,69.18
171,2003-10-09,72.01
172,2003-10-10,68.92
173,2003-10-13,75.45
174,2003-10-14,76.51
175,2003-10-15,72.2
176,2003-10-16,74.6
177,2003-10-17,66.57
178,2003-10-20,67.48
179,2003-10-21,69.65
180,2003-10-22,56.96
181,2003-10-23,53.29
182,2003-10-24,47.49
183,2003-10-27,53.61
184,2003-10-28,62.49
185,2003-10-29,64.98
186,2003-10-30,62.7
187,2003-10-31,61.95
188,2003-11-03,69.41
189,2003-11-04,68.53
190,2003-11-05,67.67
191,2003-11-06,69.33
192,2003-11-07,69.54
193,2003-11-10,61.97
194,2003-11-11,57.48
195,2003-11-12,67.69
196,2003-11-13,68.42
197,2003-11-14,61.59
198,2003-11-17,52.98
199,2003-11-18,47.86
200,2003-11-19,51.5
201,2003-11-20,45.17
202,2003-11-21,46.44
203,2003-11-24,59.54
204,2003-11-25,64.0
205,2003-11-26,68.15
206,2003-11-28,69.6
207,2003-12-01,76.01
208,2003-12-02,74.26
209,2003-12-03,68.32
210,2003-12-04,66.71
211,2003-12-05,62.53
212,2003-12-08,66.0
213,2003-12-09,58.03
214,2003-12-10,51.94
215,2003-12-11,62.49
216,2003-12-12,66.17
217,2003-12-15,55.75
218,2003-12-16,56.43
219,2003-12-17,55.64
220,2003-12-18,62.81
221,2003-12-19,60.18
222,2003-12-22,61.39
223,2003-12-23,65.79
224,2003-12-24,65.29
225,2003-12-26,66.79
226,2003-12-29,74.34
227,2003-12-30,76.93
228,2003-12-31,73.62
229,2004-01-02,74.2
230,2004-01-05,78.77
231,2004-01-06,78.58
232,2004-01-07,79.02
233,2004-01-08,80.28
234,2004-01-09,75.79
235,2004-01-12,78.29
236,2004-01-13,75.85
237,2004-01-14,78.2
238,2004-01-15,75.81
239,2004-01-16,75.3
240,2004-01-20,78.08
241,2004-01-21,78.86
242,2004-01-22,75.49
243,2004-01-23,75.97
244,2004-01-26,77.34
245,2004-01-27,72.01
246,2004-01-28,58.85
247,2004-01-29,51.02
248,2004-01-30,50.81
249,2004-02-02,49.77
250,2004-02-03,48.39
251,2004-02-04,37.5
252,2004-02-05,37.75
253,2004-02-06,51.25
254,2004-02-09,52.59
255,2004-02-10,59.04
256,2004-02-11,62.77
257,2004-02-12,58.62
258,2004-02-13,52.97
259,2004-02-17,60.91
260,2004-02-18,58.17
261,2004-02-19,51.2
262,2004-02-20,47.32
263,2004-02-23,40.11
264,2004-02-24,40.97
265,2004-02-25,47.45
266,2004-02-26,51.76
267,2004-02-27,56.76
268,2004-03-01,65.61
269,2004-03-02,60.6
270,2004-03-03,59.81
271,2004-03-04,64.07
272,2004-03-05,66.78
273,2004-03-08,59.77
274,2004-03-09,54.39
275,2004-03-10,41.78
276,2004-03-11,32.27
277,2004-03-12,43.76
278,2004-03-15,31.63
279,2004-03-16,33.17
280,2004-03-17,44.34
281,2004-03-18,42.17
282,2004-03-19,38.63
283,2004-03-22,29.11
284,2004-03-23,30.22
285,2004-03-24,27.25
286,2004-03-25,36.71
287,2004-03-26,37.8
288,2004-03-29,49.18
289,2004-03-30,56.09
290,2004-03-31,61.31
291,2004-04-01,68.61
292,2004-04-02,70.24
293,2004-04-05,69.25
294,2004-04-06,65.42
295,2004-04-07,65.5
296,2004-04-08,62.64
297,2004-04-12,63.78
298,2004-04-13,49.73
299,2004-04-14,43.36
300,2004-04-15,40.34
301,2004-04-16,42.9
302,2004-04-19,44.47
303,2004-04-20,33.83
304,2004-04-21,36.46
305,2004-04-22,45.44
306,2004-04-23,42.94
307,2004-04-26,39.04
308,2004-04-27,40.1
309,2004-04-28,27.52
310,2004-04-29,20.86
311,2004-04-30,18.47
312,2004-05-03,22.4
313,2004-05-04,26.71
314,2004-05-05,28.86
315,2004-05-06,22.53
316,2004-05-07,14.65
317,2004-05-10,9.56
318,2004-05-11,13.87
319,2004-05-12,14.1
320,2004-05-13,14.22
321,2004-05-14,14.18
322,2004-05-18,16.94
323,2004-05-19,20.28
324,2004-05-20,24.16
325,2004-05-21,32.25
326,2004-05-24,43.25
327,2004-05-25,62.5
328,2004-05-26,67.14
329,2004-05-27,72.09
330,2004-05-28,73.23
331,2004-06-01,75.73
332,2004-06-02,78.53
333,2004-06-03,70.53
334,2004-06-04,76.66
335,2004-06-07,83.32
336,2004-06-08,81.74
337,2004-06-09,72.7
338,2004-06-10,72.94
339,2004-06-14,52.62
340,2004-06-15,61.96
341,2004-06-16,60.7
342,2004-06-17,58.28
343,2004-06-18,56.39
344,2004-06-21,53.8
345,2004-06-22,53.94
346,2004-06-23,58.92
347,2004-06-24,59.1
348,2004-06-25,61.42
349,2004-06-28,58.44
350,2004-06-29,59.13
351,2004-06-30,66.37
352,2004-07-01,59.89
353,2004-07-02,62.45
354,2004-07-06,53.71
355,2004-07-07,55.73
356,2004-07-08,46.05
357,2004-07-09,48.65
358,2004-07-12,48.22
359,2004-07-13,47.55
360,2004-07-14,45.65
361,2004-07-15,46.12
362,2004-07-16,44.31
363,2004-07-19,43.94
364,2004-07-20,48.82
365,2004-07-21,37.3
366,2004-07-22,34.08
367,2004-07-23,30.14
368,2004-07-26,26.44
369,2004-07-27,31.53
370,2004-07-28,32.3
371,2004-07-29,41.7
372,2004-07-30,46.5
373,2004-08-02,49.46
374,2004-08-03,45.38
375,2004-08-04,45.17
376,2004-08-05,36.3
377,2004-08-06,30.25
378,2004-08-09,30.58
379,2004-08-10,39.56
380,2004-08-11,36.7
381,2004-08-12,31.0
382,2004-08-13,32.8
383,2004-08-16,44.8
384,2004-08-17,49.28
385,2004-08-18,61.78
386,2004-08-19,58.83
387,2004-08-20,68.47
388,2004-08-23,63.96
389,2004-08-24,65.49
390,2004-08-25,71.47
391,2004-08-26,70.42
392,2004-08-27,74.76
393,2004-08-30,69.13
394,2004-08-31,74.14
395,2004-09-01,76.54
396,2004-09-02,81.89
397,2004-09-03,76.71
398,2004-09-07,80.3
399,2004-09-08,76.21
400,2004-09-09,79.01
401,2004-09-10,80.01
402,2004-09-13,78.7
403,2004-09-14,76.51
404,2004-09-15,70.91
405,2004-09-16,75.53
406,2004-09-17,73.53
407,2004-09-20,68.89
408,2004-09-21,72.85
409,2004-09-22,60.38
410,2004-09-23,57.8
411,2004-09-24,56.49
412,2004-09-27,47.43
413,2004-09-28,52.28
414,2004-09-29,55.68
415,2004-09-30,58.13
416,2004-10-01,69.62
417,2004-10-04,71.12
418,2004-10-05,69.26
419,2004-10-06,71.97
420,2004-10-07,63.31
421,2004-10-08,58.47
422,2004-10-11,61.86
423,2004-10-12,58.69
424,2004-10-13,48.46
425,2004-10-14,42.82
426,2004-10-15,49.27
427,2004-10-18,50.73
428,2004-10-19,46.19
429,2004-10-20,49.17
430,2004-10-21,54.62
431,2004-10-22,47.01
432,2004-10-25,49.08
433,2004-10-26,55.35
434,2004-10-27,63.38
435,2004-10-28,61.79
436,2004-10-29,63.68
437,2004-11-01,64.74
438,2004-11-02,64.73
439,2004-11-03,73.87
440,2004-11-04,76.82
441,2004-11-05,72.73
442,2004-11-08,69.0
443,2004-11-09,69.69
444,2004-11-10,70.28
445,2004-11-11,73.61
446,2004-11-12,77.26
447,2004-11-15,77.37
448,2004-11-16,75.31
449,2004-11-17,77.59
450,2004-11-18,76.0
451,2004-11-19,67.86
452,2004-11-22,71.71
453,2004-11-23,72.63
454,2004-11-24,75.74
455,2004-11-26,75.62
456,2004-11-29,72.18
457,2004-11-30,66.53
458,2004-12-01,72.5
459,2004-12-02,68.93
460,2004-12-03,70.74
461,2004-12-06,67.19
462,2004-12-07,51.97
463,2004-12-08,55.39
464,2004-12-09,53.85
465,2004-12-10,54.97
466,2004-12-13,59.99
467,2004-12-14,63.95
468,2004-12-15,67.02
469,2004-12-16,60.43
470,2004-12-17,59.72
471,2004-12-20,56.73
472,2004-12-21,63.23
473,2004-12-22,64.82
474,2004-12-23,66.07
475,2004-12-27,60.97
476,2004-12-28,69.94
477,2004-12-29,68.85
478,2004-12-30,71.81
479,2004-12-31,71.54
480,2005-01-03,57.28
481,2005-01-04,40.99
482,2005-01-05,32.23
483,2005-01-06,33.73
484,2005-01-07,31.96
485,2005-01-10,34.63
486,2005-01-11,30.69
487,2005-01-12,32.67
488,2005-01-13,32.14
489,2005-01-14,36.25
490,2005-01-18,43.38
491,2005-01-19,39.11
492,2005-01-20,34.27
493,2005-01-21,34.59
494,2005-01-24,32.67
495,2005-01-25,33.24
496,2005-01-26,43.16
497,2005-01-27,45.28
498,2005-01-28,45.01
499,2005-01-31,58.58
500,2005-02-01,64.23
501,2005-02-02,68.17
502,2005-02-03,65.68
503,2005-02-04,73.41
504,2005-02-07,73.27
505,2005-02-08,73.17
506,2005-02-09,63.72
507,2005-02-10,63.13
508,2005-02-11,68.36
509,2005-02-14,68.11
510,2005-02-15,68.2
511,2005-02-16,68.63
512,2005-02-17,59.54
513,2005-02-18,52.88
514,2005-02-22,39.12
515,2005-02-23,39.63
516,2005-02-24,45.26
517,2005-02-25,53.86
518,2005-02-28,49.48
519,2005-03-01,55.73
520,2005-03-02,53.23
521,2005-03-03,54.27
522,2005-03-04,61.51
523,2005-03-07,62.04
524,2005-03-08,56.68
525,2005-03-09,44.73
526,2005-03-10,40.8
527,2005-03-11,37.54
528,2005-03-14,40.38
529,2005-03-15,35.74
530,2005-03-16,29.16
531,2005-03-17,32.28
532,2005-03-18,30.01
533,2005-03-21,28.06
534,2005-03-22,22.9
535,2005-03-23,18.59
536,2005-03-24,19.88
537,2005-03-28,20.3
538,2005-03-29,15.42
539,2005-03-30,23.91
540,2005-03-31,27.31
541,2005-04-01,26.58
542,2005-04-04,30.32
543,2005-04-05,34.78
544,2005-04-06,40.07
545,2005-04-07,47.61
546,2005-04-08,38.72
547,2005-04-11,37.88
548,2005-04-12,46.09
549,2005-04-13,36.64
550,2005-04-14,28.13
551,2005-04-15,22.53
552,2005-04-18,24.72
553,2005-04-19,34.05
554,2005-04-20,28.46
555,2005-04-21,39.55
556,2005-04-22,35.56
557,2005-04-25,42.47
558,2005-04-26,36.26
559,2005-04-27,37.17
560,2005-04-28,31.38
561,2005-04-29,38.11
562,2005-05-02,42.94
563,2005-05-03,43.66
564,2005-05-04,56.09
565,2005-05-05,57.9
566,2005-05-06,59.41
567,2005-05-09,64.21
568,2005-05-10,58.87
569,2005-05-11,59.84
570,2005-05-12,50.56
571,2005-05-13,44.22
572,2005-05-16,53.66
573,2005-05-17,56.99
574,2005-05-18,66.75
575,2005-05-19,69.04
576,2005-05-20,68.13
577,2005-05-23,70.78
578,2005-05-24,71.26
579,2005-05-25,64.86
580,2005-05-26,69.95
581,2005-05-27,72.41
582,2005-05-31,69.82
583,2005-06-01,75.97
584,2005-06-02,76.46
585,2005-06-03,72.36
586,2005-06-06,73.51
587,2005-06-07,73.79
588,2005-06-08,69.71
589,2005-06-09,71.48
590,2005-06-10,68.75
591,2005-06-13,65.56
592,2005-06-14,66.89
593,2005-06-15,67.06
594,2005-06-16,72.2
595,2005-06-17,72.57
596,2005-06-20,69.38
597,2005-06-21,68.25
598,2005-06-22,69.61
599,2005-06-23,57.65
600,2005-06-24,51.8
601,2005-06-27,48.7
602,2005-06-28,59.19
603,2005-06-29,60.49
604,2005-06-30,58.22
605,2005-07-01,60.43
606,2005-07-05,65.2
607,2005-07-06,62.16
608,2005-07-07,62.01
609,2005-07-08,71.48
610,2005-07-11,77.17
611,2005-07-12,78.0
612,2005-07-13,75.17
613,2005-07-14,71.59
614,2005-07-15,71.52
615,2005-07-18,65.99
616,2005-07-19,72.09
617,2005-07-20,75.59
618,2005-07-21,68.49
619,2005-07-22,73.84
620,2005-07-25,68.31
621,2005-07-26,68.9
622,2005-07-27,68.2
623,2005-07-28,73.6
624,2005-07-29,68.74
625,2005-08-01,68.87
626,2005-08-02,72.07
627,2005-08-03,68.92
628,2005-08-04,58.78
629,2005-08-05,47.35
630,2005-08-08,42.09
631,2005-08-09,42.77
632,2005-08-10,42.52
633,2005-08-11,46.53
634,2005-08-12,41.82
635,2005-08-15,45.19
636,2005-08-16,36.8
637,2005-08-17,35.36
638,2005-08-18,31.16
639,2005-08-19,33.74
640,2005-08-22,37.85
641,2005-08-23,36.53
642,2005-08-24,35.14
643,2005-08-25,39.09
644,2005-08-26,33.73
645,2005-08-29,40.05
646,2005-08-30,39.09
647,2005-08-31,55.09
648,2005-09-01,60.56
649,2005-09-02,58.44
650,2005-09-06,68.1
651,2005-09-07,69.78
652,2005-09-08,66.24
653,2005-09-09,70.68
654,2005-09-12,70.87
655,2005-09-13,62.97
656,2005-09-14,54.63
657,2005-09-15,52.11
658,2005-09-16,56.31
659,2005-09-19,49.48
660,2005-09-20,42.24
661,2005-09-21,34.17
662,2005-09-22,31.4
663,2005-09-23,34.1
664,2005-09-26,38.09
665,2005-09-27,35.54
666,2005-09-28,34.27
667,2005-09-29,42.06
668,2005-09-30,47.85
669,2005-10-03,49.8
670,2005-10-04,44.0
671,2005-10-05,28.04
672,2005-10-06,23.6
673,2005-10-07,28.43
674,2005-10-10,26.05
675,2005-10-11,23.32
676,2005-10-12,16.0
677,2005-10-13,15.63
678,2005-10-14,22.43
679,2005-10-17,24.02
680,2005-10-18,20.03
681,2005-10-19,30.2
682,2005-10-20,22.96
683,2005-10-21,28.45
684,2005-10-24,42.1
685,2005-10-25,39.28
686,2005-10-26,35.55
687,2005-10-27,26.61
688,2005-10-28,39.38
689,2005-10-31,52.51
690,2005-11-01,52.31
691,2005-11-02,61.61
692,2005-11-03,63.58
693,2005-11-04,63.11
694,2005-11-07,64.85
695,2005-11-08,63.35
696,2005-11-09,63.77
697,2005-11-10,62.49
698,2005-11-11,63.66
699,2005-11-14,60.39
700,2005-11-15,53.45
701,2005-11-16,52.29
702,2005-11-17,60.8
703,2005-11-18,62.88
704,2005-11-21,66.26
705,2005-11-22,67.59
706,2005-11-23,69.72
707,2005-11-25,70.34
708,2005-11-28,60.34
709,2005-11-29,60.59
710,2005-11-30,60.65
711,2005-12-01,70.47
712,2005-12-02,71.14
713,2005-12-05,66.26
714,2005-12-06,66.26
715,2005-12-07,60.4
716,2005-12-08,60.38
717,2005-12-09,64.25
718,2005-12-12,63.51
719,2005-12-13,61.67
720,2005-12-14,62.26
721,2005-12-15,55.2
722,2005-12-16,52.79
723,2005-12-19,41.55
724,2005-12-20,40.68
725,2005-12-21,45.66
726,2005-12-22,50.56
727,2005-12-23,53.69
728,2005-12-27,42.67
729,2005-12-28,45.31
730,2005-12-29,43.96
731,2005-12-30,42.12
732,2006-01-03,59.15
733,2006-01-04,66.16
734,2006-01-05,67.86
735,2006-01-06,74.28
736,2006-01-09,77.1
737,2006-01-10,78.62
738,2006-01-11,76.98
739,2006-01-12,72.99
740,2006-01-13,74.4
741,2006-01-17,68.17
742,2006-01-18,66.02
743,2006-01-19,71.99
744,2006-01-20,60.33
745,2006-01-23,62.43
746,2006-01-24,68.12
747,2006-01-25,66.24
748,2006-01-26,70.8
749,2006-01-27,72.06
750,2006-01-30,68.98
751,2006-01-31,68.19
752,2006-02-01,68.48
753,2006-02-02,59.38
754,2006-02-03,54.34
755,2006-02-06,56.45
756,2006-02-07,47.17
757,2006-02-08,50.05
758,2006-02-09,50.58
759,2006-02-10,49.77
760,2006-02-13,42.59
761,2006-02-14,51.55
762,2006-02-15,56.12
763,2006-02-16,62.1
764,2006-02-17,61.52
765,2006-02-21,57.23
766,2006-02-22,63.23
767,2006-02-23,61.35
768,2006-02-24,64.04
769,2006-02-27,65.53
770,2006-02-28,58.09
771,2006-03-01,67.15
772,2006-03-02,65.41
773,2006-03-03,59.92
774,2006-03-06,50.4
775,2006-03-07,40.24
776,2006-03-08,39.43
777,2006-03-09,36.76
778,2006-03-10,43.93
779,2006-03-13,45.54
780,2006-03-14,53.42
781,2006-03-15,57.89
782,2006-03-16,59.8
783,2006-03-17,60.01
784,2006-03-20,58.56
785,2006-03-21,49.82
786,2006-03-22,56.31
787,2006-03-23,57.16
788,2006-03-24,62.07
789,2006-03-27,60.8
790,2006-03-28,55.54
791,2006-03-29,64.82
792,2006-03-30,63.24
793,2006-03-31,65.77
794,2006-04-03,60.74
795,2006-04-04,61.84
796,2006-04-05,62.54
797,2006-04-06,59.93
798,2006-04-07,48.45
799,2006-04-10,45.03
800,2006-04-11,36.6
801,2006-04-12,37.05
802,2006-04-13,38.81
803,2006-04-17,37.49
804,2006-04-18,53.35
805,2006-04-19,58.3
806,2006-04-20,57.08
807,2006-04-21,55.86
808,2006-04-24,52.88
809,2006-04-25,49.65
810,2006-04-26,50.33
811,2006-04-27,49.61
812,2006-04-28,53.34
813,2006-05-01,50.11
814,2006-05-02,54.92
815,2006-05-03,53.61
816,2006-05-04,58.36
817,2006-05-05,65.36
818,2006-05-08,64.9
819,2006-05-09,62.81
820,2006-05-10,58.97
821,2006-05-11,41.93
822,2006-05-12,30.59
823,2006-05-15,26.51
824,2006-05-16,28.16
825,2006-05-17,19.25
826,2006-05-18,18.71
827,2006-05-19,21.01
828,2006-05-22,19.25
829,2006-05-23,17.8
830,2006-05-24,19.08
831,2006-05-25,26.54
832,2006-05-26,31.24
833,2006-05-30,22.33
834,2006-05-31,30.54
835,2006-06-01,45.63
836,2006-06-02,52.81
837,2006-06-05,36.37
838,2006-06-06,33.81
839,2006-06-07,34.87
840,2006-06-08,36.39
841,2006-06-09,35.09
842,2006-06-12,25.93
843,2006-06-13,19.24
844,2006-06-14,18.3
845,2006-06-15,33.57
846,2006-06-16,29.79
847,2006-06-19,22.62
848,2006-06-20,22.04
849,2006-06-21,31.81
850,2006-06-22,28.61
851,2006-06-23,31.14
852,2006-06-26,39.73
853,2006-06-27,30.13
854,2006-06-28,33.48
855,2006-06-29,60.63
856,2006-06-30,66.37
857,2006-07-03,72.52
858,2006-07-05,65.5
859,2006-07-06,68.18
860,2006-07-07,63.34
861,2006-07-10,63.81
862,2006-07-11,66.57
863,2006-07-12,53.55
864,2006-07-13,38.07
865,2006-07-14,33.72
866,2006-07-17,29.87
867,2006-07-18,32.22
868,2006-07-19,51.12
869,2006-07-20,39.37
870,2006-07-21,32.84
871,2006-07-24,47.14
872,2006-07-25,53.22
873,2006-07-26,53.14
874,2006-07-27,48.61
875,2006-07-28,59.75
876,2006-07-31,61.98
877,2006-08-01,56.25
878,2006-08-02,62.69
879,2006-08-03,66.6
880,2006-08-04,66.04
881,2006-08-07,62.28
882,2006-08-08,57.18
883,2006-08-09,53.41
884,2006-08-10,56.49
885,2006-08-11,49.46
886,2006-08-14,50.24
887,2006-08-15,63.0
888,2006-08-16,69.76
889,2006-08-17,70.26
890,2006-08-18,70.48
891,2006-08-21,67.04
892,2006-08-22,68.34
893,2006-08-23,59.47
894,2006-08-24,58.88
895,2006-08-25,59.72
896,2006-08-28,66.12
897,2006-08-29,70.69
898,2006-08-30,73.35
899,2006-08-31,75.2
900,2006-09-01,78.1
901,2006-09-05,79.19
902,2006-09-06,64.27
903,2006-09-07,54.45
904,2006-09-08,56.81
905,2006-09-11,52.57
906,2006-09-12,64.62
907,2006-09-13,66.95
908,2006-09-14,64.33
909,2006-09-15,64.51
910,2006-09-18,64.08
911,2006-09-19,60.39
912,2006-09-20,65.14
913,2006-09-21,59.78
914,2006-09-22,52.65
915,2006-09-25,59.2
916,2006-09-26,62.21
917,2006-09-27,64.19
918,2006-09-28,64.54
919,2006-09-29,59.53
920,2006-10-02,54.56
921,2006-10-03,53.84
922,2006-10-04,65.29
923,2006-10-05,70.34
924,2006-10-06,67.05
925,2006-10-09,68.69
926,2006-10-10,69.16
927,2006-10-11,64.02
928,2006-10-12,74.71
929,2006-10-13,76.05
930,2006-10-16,78.1
931,2006-10-17,74.87
932,2006-10-18,74.21
933,2006-10-19,75.25
934,2006-10-20,71.21
935,2006-10-23,71.3
936,2006-10-24,69.74
937,2006-10-25,71.8
938,2006-10-26,76.43
939,2006-10-27,69.06
940,2006-10-30,69.24
941,2006-10-31,67.03
942,2006-11-01,54.64
943,2006-11-02,49.33
944,2006-11-03,48.93
945,2006-11-06,59.0
946,2006-11-07,59.65
947,2006-11-08,62.43
948,2006-11-09,55.57
949,2006-11-10,60.4
950,2006-11-13,60.62
951,2006-11-14,67.99
952,2006-11-15,69.8
953,2006-11-16,69.0
954,2006-11-17,68.0
955,2006-11-20,68.01
956,2006-11-21,68.75
957,2006-11-22,69.96
958,2006-11-24,69.8
959,2006-11-27,50.43
960,2006-11-28,54.2
961,2006-11-29,64.63
962,2006-11-30,66.44
963,2006-12-01,61.26
964,2006-12-04,71.73
965,2006-12-05,73.54
966,2006-12-06,70.58
967,2006-12-07,66.08
968,2006-12-08,63.68
969,2006-12-11,64.04
970,2006-12-12,59.45
971,2006-12-13,56.99
972,2006-12-14,60.39
973,2006-12-15,58.14
974,2006-12-18,48.29
975,2006-12-19,48.32
976,2006-12-20,49.34
977,2006-12-21,47.46
978,2006-12-22,44.72
979,2006-12-26,50.7
980,2006-12-27,58.35
981,2006-12-28,56.21
982,2006-12-29,50.83
983,2007-01-03,51.46
984,2007-01-04,53.8
985,2007-01-05,38.67
986,2007-01-08,41.63
987,2007-01-09,43.34
988,2007-01-10,43.93
989,2007-01-11,52.28
990,2007-01-12,57.83
991,2007-01-16,57.18
992,2007-01-17,57.05
993,2007-01-18,50.55
994,2007-01-19,56.27
995,2007-01-22,51.19
996,2007-01-23,57.39
997,2007-01-24,62.99
998,2007-01-25,51.14
999,2007-01-26,53.99
1000,2007-01-29,55.8
1001,2007-01-30,61.99
1002,2007-01-31,65.74
1003,2007-02-01,71.86
1004,2007-02-02,73.92
1005,2007-02-05,70.68
1006,2007-02-06,72.34
1007,2007-02-07,73.22
1008,2007-02-08,72.14
1009,2007-02-09,63.68
1010,2007-02-12,59.52
1011,2007-02-13,64.42
1012,2007-02-14,66.53
1013,2007-02-15,66.68
1014,2007-02-16,66.62
1015,2007-02-20,68.28
1016,2007-02-21,68.07
1017,2007-02-22,67.94
1018,2007-02-23,64.24
1019,2007-02-26,61.46
1020,2007-02-27,29.38
1021,2007-02-28,31.86
1022,2007-03-01,28.49
1023,2007-03-02,22.9
1024,2007-03-05,17.49
1025,2007-03-06,23.74
1026,2007-03-07,24.77
1027,2007-03-08,29.62
1028,2007-03-09,32.36
1029,2007-03-12,38.03
1030,2007-03-13,23.99
1031,2007-03-14,25.74
1032,2007-03-15,31.9
1033,2007-03-16,30.43
1034,2007-03-19,40.25
1035,2007-03-20,51.65
1036,2007-03-21,68.17
1037,2007-03-22,70.08
1038,2007-03-23,72.78
1039,2007-03-26,73.48
1040,2007-03-27,68.39
1041,2007-03-28,60.77
1042,2007-03-29,62.47
1043,2007-03-30,64.88
1044,2007-04-02,64.7
1045,2007-04-03,71.31
1046,2007-04-04,69.68
1047,2007-04-05,72.15
1048,2007-04-09,68.28
1049,2007-04-10,70.72
1050,2007-04-11,63.07
1051,2007-04-12,65.25
1052,2007-04-16,73.8
1053,2007-04-17,71.69
1054,2007-04-18,67.82
1055,2007-04-19,62.16
1056,2007-04-20,69.69
1057,2007-04-23,67.24
1058,2007-04-24,65.15
1059,2007-04-25,68.43
1060,2007-04-26,65.96
1061,2007-04-27,61.74
1062,2007-04-30,50.87
1063,2007-05-01,50.27
1064,2007-05-02,59.48
1065,2007-05-03,59.46
1066,2007-05-04,61.48
1067,2007-05-07,61.56
1068,2007-05-08,57.76
1069,2007-05-09,59.51
