,date,gold/oil
0,2003-10-16,12.118644
1,2003-10-19,12.3229
2,2003-10-20,12.647449
3,2003-10-21,12.917781
4,2003-10-22,12.69637
5,2003-10-23,12.894562
6,2003-10-27,12.964572
7,2003-10-28,12.963465
8,2003-10-29,13.379453
9,2003-10-30,13.49842
10,2003-10-31,13.208519
11,2003-11-03,13.044983
12,2003-11-04,13.213913
13,2003-11-05,12.627063
14,2003-11-06,12.577661
15,2003-11-07,12.424635
16,2003-11-10,12.51943
17,2003-11-11,12.459069
18,2003-11-12,12.604532
19,2003-11-13,12.354233
20,2003-11-14,12.289157
21,2003-11-17,12.338481
22,2003-11-18,11.947116
23,2003-11-19,11.995748
24,2003-11-20,11.9811325
25,2003-11-21,12.52768
26,2003-11-24,13.164089
27,2003-11-25,13.137386
28,2003-11-26,13.048339
29,2003-11-27,
30,2003-11-28,
31,2003-12-01,13.445743
32,2003-12-02,13.11566
33,2003-12-03,12.987138
34,2003-12-04,12.901471
35,2003-12-05,13.224862
36,2003-12-08,12.666667
37,2003-12-09,12.852645
38,2003-12-10,12.741531
39,2003-12-11,12.703297
40,2003-12-12,12.391041
41,2003-12-15,12.332731
42,2003-12-16,12.395865
43,2003-12-17,12.353824
44,2003-12-18,12.174429
45,2003-12-19,12.392489
46,2003-12-22,12.88359
47,2003-12-23,12.86385
48,2003-12-24,12.547169
49,2003-12-25,
50,2003-12-26,
51,2003-12-29,12.802468
52,2003-12-30,12.714242
53,2003-12-31,12.782903
54,2004-01-01,
55,2004-01-02,
56,2004-01-05,12.563647
57,2004-01-06,12.545994
58,2004-01-07,12.549078
59,2004-01-08,12.477928
60,2004-01-09,12.427863
61,2004-01-12,12.278225
62,2004-01-13,12.3061285
63,2004-01-14,12.223188
64,2004-01-15,12.212919
65,2004-01-16,11.596807
66,2004-01-19,
67,2004-01-20,11.400553
68,2004-01-21,11.888374
69,2004-01-22,11.7377615
70,2004-01-23,11.674299
71,2004-01-26,11.795764
72,2004-01-27,12.016413
73,2004-01-28,12.328971
74,2004-01-29,12.145687
75,2004-01-30,12.169441
76,2004-02-02,11.397943
77,2004-02-03,11.706746
78,2004-02-04,12.114804
79,2004-02-05,12.034461
80,2004-02-06,12.426108
81,2004-02-09,12.391105
82,2004-02-10,11.998819
83,2004-02-11,12.064706
84,2004-02-12,12.174809
85,2004-02-13,11.872106
86,2004-02-16,
87,2004-02-17,11.831627
88,2004-02-18,11.630465
89,2004-02-19,11.383333
90,2004-02-20,11.16573
91,2004-02-23,11.615721
92,2004-02-24,11.697513
93,2004-02-25,11.093049
94,2004-02-26,11.146156
