Date,Close
"Nov 28, 2022","1,740.10"
"Nov 25, 2022","1,753.30"
"Nov 24, 2022",-
"Nov 23, 2022","1,744.90"
"Nov 22, 2022","1,738.30"
"Nov 21, 2022","1,737.40"
"Nov 18, 2022","1,751.90"
"Nov 17, 2022","1,760.80"
"Nov 16, 2022","1,773.00"
"Nov 15, 2022","1,773.80"
"Nov 14, 2022","1,773.60"
"Nov 11, 2022","1,766.00"
"Nov 10, 2022","1,750.30"
"Nov 09, 2022","1,710.10"
"Nov 08, 2022","1,712.10"
"Nov 07, 2022","1,676.50"
"Nov 03, 2022","1,672.50"
"Nov 02, 2022","1,627.30"
"Nov 01, 2022","1,645.70"
"Oct 31, 2022","1,645.00"
"Oct 30, 2022","1,635.90"
"Oct 27, 2022","1,639.60"
"Oct 26, 2022","1,660.70"
"Oct 25, 2022","1,664.00"
"Oct 24, 2022","1,652.80"
"Oct 23, 2022","1,648.70"
"Oct 20, 2022","1,651.00"
"Oct 19, 2022","1,630.80"
"Oct 18, 2022","1,627.50"
"Oct 17, 2022","1,649.00"
"Oct 16, 2022","1,657.00"
"Oct 13, 2022","1,641.70"
"Oct 12, 2022","1,670.00"
"Oct 11, 2022","1,670.30"
"Oct 10, 2022","1,678.70"
"Oct 09, 2022","1,667.30"
"Oct 06, 2022","1,700.50"
"Oct 05, 2022","1,711.70"
"Oct 04, 2022","1,711.40"
"Oct 03, 2022","1,721.10"
"Oct 02, 2022","1,692.90"
"Sept 29, 2022","1,662.40"
"Sept 28, 2022","1,658.50"
"Sept 27, 2022","1,660.40"
"Sept 26, 2022","1,626.70"
"Sept 25, 2022","1,623.30"
"Sept 22, 2022","1,645.30"
"Sept 21, 2022","1,670.80"
"Sept 20, 2022","1,664.60"
"Sept 19, 2022","1,659.70"
"Sept 18, 2022","1,666.20"
"Sept 15, 2022","1,671.70"
"Sept 14, 2022","1,665.40"
"Sept 13, 2022","1,696.50"
"Sept 12, 2022","1,705.00"
"Sept 11, 2022","1,728.10"
"Sept 08, 2022","1,716.20"
"Sept 07, 2022","1,708.00"
"Sept 06, 2022","1,715.30"
"Sept 05, 2022","1,700.40"
"Sept 04, 2022",-
"Sept 01, 2022","1,709.80"
"Aug 31, 2022","1,696.60"
"Aug 30, 2022","1,712.80"
"Aug 29, 2022","1,723.20"
"Aug 28, 2022","1,736.60"
"Aug 25, 2022","1,736.10"
"Aug 24, 2022","1,757.70"
"Aug 23, 2022","1,747.80"
"Aug 22, 2022","1,746.80"
"Aug 21, 2022","1,734.00"
"Aug 18, 2022","1,747.60"
"Aug 17, 2022","1,755.30"
"Aug 16, 2022","1,760.30"
"Aug 15, 2022","1,773.20"
"Aug 14, 2022","1,781.40"
"Aug 11, 2022","1,798.60"
"Aug 10, 2022","1,789.70"
"Aug 09, 2022","1,795.60"
"Aug 08, 2022","1,794.00"
"Aug 07, 2022","1,786.80"
"Aug 04, 2022","1,772.90"
"Aug 03, 2022","1,788.50"
"Aug 02, 2022","1,758.00"
"Aug 01, 2022","1,771.10"
"Jul 31, 2022","1,769.00"
"Jul 28, 2022","1,762.90"
"Jul 27, 2022","1,750.30"
"Jul 26, 2022","1,719.10"
"Jul 25, 2022","1,717.70"
"Jul 24, 2022","1,719.00"
"Jul 21, 2022","1,727.10"
"Jul 20, 2022","1,712.70"
"Jul 19, 2022","1,699.50"
"Jul 18, 2022","1,710.00"
"Jul 17, 2022","1,709.20"
"Jul 14, 2022","1,702.40"
"Jul 13, 2022","1,704.50"
"Jul 12, 2022","1,734.20"
"Jul 11, 2022","1,723.30"
"Jul 10, 2022","1,730.00"
"Jul 07, 2022","1,740.60"
"Jul 06, 2022","1,737.90"
"Jul 05, 2022","1,734.90"
"Jul 04, 2022","1,761.80"
"Jul 03, 2022",-
"Jun 30, 2022","1,798.90"
"Jun 29, 2022","1,804.10"
"Jun 28, 2022","1,813.70"
"Jun 27, 2022","1,817.50"
"Jun 26, 2022","1,820.90"
"Jun 23, 2022","1,826.50"
"Jun 22, 2022","1,825.70"
"Jun 21, 2022","1,834.30"
"Jun 20, 2022","1,834.60"
"Jun 19, 2022",-
"Jun 16, 2022","1,835.60"
"Jun 15, 2022","1,845.70"
"Jun 14, 2022","1,815.30"
"Jun 13, 2022","1,809.50"
"Jun 12, 2022","1,828.00"
"Jun 09, 2022","1,871.50"
"Jun 08, 2022","1,848.80"
"Jun 07, 2022","1,851.90"
"Jun 06, 2022","1,847.50"
"Jun 05, 2022","1,839.20"
"Jun 02, 2022","1,845.40"
"Jun 01, 2022","1,866.50"
"May 31, 2022","1,843.30"
"May 30, 2022","1,842.70"
"May 29, 2022",-
"May 26, 2022","1,851.30"
"May 25, 2022","1,847.40"
"May 24, 2022","1,846.20"
"May 23, 2022","1,865.10"
"May 22, 2022","1,847.80"
"May 19, 2022","1,841.80"
"May 18, 2022","1,841.20"
"May 17, 2022","1,815.90"
"May 16, 2022","1,818.20"
"May 15, 2022","1,813.50"
"May 12, 2022","1,807.40"
"May 11, 2022","1,823.80"
"May 10, 2022","1,852.60"
"May 09, 2022","1,839.90"
"May 08, 2022","1,857.10"
"May 05, 2022","1,881.20"
"May 04, 2022","1,874.00"
"May 03, 2022","1,867.00"
"May 02, 2022","1,868.80"
"May 01, 2022","1,861.80"
"Apr 28, 2022","1,909.30"
"Apr 27, 2022","1,888.70"
"Apr 26, 2022","1,885.90"
"Apr 25, 2022","1,901.40"
"Apr 24, 2022","1,893.20"
"Apr 21, 2022","1,931.00"
"Apr 20, 2022","1,944.90"
"Apr 19, 2022","1,952.30"
"Apr 18, 2022","1,955.70"
"Apr 17, 2022","1,982.90"
"Apr 13, 2022","1,970.90"
"Apr 12, 2022","1,981.00"
"Apr 11, 2022","1,972.10"
"Apr 10, 2022","1,944.30"
"Apr 07, 2022","1,941.60"
"Apr 06, 2022","1,933.80"
"Apr 05, 2022","1,918.40"
"Apr 04, 2022","1,922.90"
"Apr 03, 2022","1,929.20"
"Mar 31, 2022","1,919.10"
"Mar 30, 2022","1,949.20"
"Mar 29, 2022","1,933.50"
"Mar 28, 2022","1,912.00"
"Mar 27, 2022","1,939.60"
"Mar 24, 2022","1,953.80"
"Mar 23, 2022","1,961.60"
"Mar 22, 2022","1,936.60"
"Mar 21, 2022","1,920.70"
"Mar 20, 2022","1,928.60"
"Mar 17, 2022","1,928.20"
"Mar 16, 2022","1,942.10"
"Mar 15, 2022","1,908.00"
"Mar 14, 2022","1,928.50"
"Mar 13, 2022","1,959.60"
"Mar 11, 2022","1,982.70"
"Mar 10, 2022","1,998.10"
"Mar 09, 2022","1,985.90"
"Mar 08, 2022","2,040.10"
"Mar 07, 2022","1,993.90"
"Mar 04, 2022","1,965.10"
"Mar 03, 2022","1,934.40"
"Mar 02, 2022","1,920.90"
"Mar 01, 2022","1,942.40"
"Feb 28, 2022","1,899.40"
"Feb 25, 2022","1,886.50"
"Feb 24, 2022","1,925.10"
"Feb 23, 2022","1,909.20"
"Feb 22, 2022","1,906.10"
"Feb 18, 2022","1,898.60"
"Feb 17, 2022","1,900.70"
"Feb 16, 2022","1,870.20"
"Feb 15, 2022","1,854.80"
"Feb 14, 2022","1,868.00"
"Feb 11, 2022","1,840.80"
"Feb 10, 2022","1,836.20"
"Feb 09, 2022","1,835.20"
"Feb 08, 2022","1,826.60"
"Feb 07, 2022","1,820.60"
"Feb 04, 2022","1,806.60"
"Feb 03, 2022","1,803.00"
"Feb 02, 2022","1,809.20"
"Feb 01, 2022","1,800.30"
"Jan 31, 2022","1,795.00"
"Jan 28, 2022","1,784.90"
"Jan 27, 2022","1,793.30"
"Jan 26, 2022","1,829.90"
"Jan 25, 2022","1,852.70"
"Jan 24, 2022","1,841.70"
"Jan 21, 2022","1,831.80"
"Jan 20, 2022","1,842.50"
"Jan 19, 2022","1,843.10"
