,date,1Y_bond
0,2003-10-16,1.34
1,2003-10-17,1.31
2,2003-10-20,1.32
3,2003-10-21,1.32
4,2003-10-22,1.28
5,2003-10-23,1.3
6,2003-10-24,1.27
7,2003-10-27,1.31
8,2003-10-28,1.25
9,2003-10-29,1.29
10,2003-10-30,1.32
11,2003-10-31,1.31
12,2003-11-03,1.33
13,2003-11-04,1.31
14,2003-11-05,1.35
15,2003-11-06,1.38
16,2003-11-07,1.4
17,2003-11-10,1.39
18,2003-11-12,1.39
19,2003-11-13,1.33
20,2003-11-14,1.31
21,2003-11-17,1.29
22,2003-11-18,1.3
23,2003-11-19,1.32
24,2003-11-20,1.28
25,2003-11-21,1.29
26,2003-11-24,1.33
27,2003-11-25,1.32
28,2003-11-26,1.35
29,2003-11-28,1.39
30,2003-12-01,1.41
31,2003-12-02,1.38
32,2003-12-03,1.39
33,2003-12-04,1.38
34,2003-12-05,1.3
35,2003-12-08,1.33
36,2003-12-09,1.35
37,2003-12-10,1.33
38,2003-12-11,1.27
39,2003-12-12,1.28
40,2003-12-15,1.3
41,2003-12-16,1.28
42,2003-12-17,1.26
43,2003-12-18,1.24
44,2003-12-19,1.25
45,2003-12-22,1.27
46,2003-12-23,1.31
47,2003-12-24,1.28
48,2003-12-26,1.27
49,2003-12-29,1.31
50,2003-12-30,1.28
51,2003-12-31,1.26
52,2004-01-02,1.31
53,2004-01-05,1.35
54,2004-01-06,1.3
55,2004-01-07,1.29
56,2004-01-08,1.29
57,2004-01-09,1.21
58,2004-01-12,1.21
59,2004-01-13,1.18
60,2004-01-14,1.19
61,2004-01-15,1.18
62,2004-01-16,1.21
63,2004-01-20,1.21
64,2004-01-21,1.19
65,2004-01-22,1.19
66,2004-01-23,1.21
67,2004-01-26,1.23
68,2004-01-27,1.21
69,2004-01-28,1.26
70,2004-01-29,1.29
71,2004-01-30,1.28
72,2004-02-02,1.29
73,2004-02-03,1.27
74,2004-02-04,1.27
75,2004-02-05,1.29
76,2004-02-06,1.26
77,2004-02-09,1.25
78,2004-02-10,1.27
79,2004-02-11,1.23
80,2004-02-12,1.24
81,2004-02-13,1.21
82,2004-02-17,1.21
83,2004-02-18,1.23
84,2004-02-19,1.23
85,2004-02-20,1.26
86,2004-02-23,1.22
87,2004-02-24,1.23
88,2004-02-25,1.23
89,2004-02-26,1.23
90,2004-02-27,1.21
91,2004-03-01,1.23
92,2004-03-02,1.26
93,2004-03-03,1.26
94,2004-03-04,1.25
95,2004-03-05,1.16
96,2004-03-08,1.15
97,2004-03-09,1.15
98,2004-03-10,1.17
99,2004-03-11,1.15
100,2004-03-12,1.18
101,2004-03-15,1.18
102,2004-03-16,1.17
103,2004-03-17,1.18
104,2004-03-18,1.17
105,2004-03-19,1.19
106,2004-03-22,1.17
107,2004-03-23,1.17
108,2004-03-24,1.16
109,2004-03-25,1.15
110,2004-03-26,1.19
111,2004-03-29,1.21
112,2004-03-30,1.21
113,2004-03-31,1.2
114,2004-04-01,1.23
115,2004-04-02,1.3
116,2004-04-05,1.34
117,2004-04-06,1.31
118,2004-04-07,1.31
119,2004-04-08,1.32
120,2004-04-12,1.34
121,2004-04-13,1.39
122,2004-04-14,1.48
123,2004-04-15,1.46
124,2004-04-16,1.4
125,2004-04-19,1.43
126,2004-04-20,1.46
127,2004-04-21,1.52
128,2004-04-22,1.49
129,2004-04-23,1.59
130,2004-04-26,1.57
131,2004-04-27,1.53
132,2004-04-28,1.54
133,2004-04-29,1.55
134,2004-04-30,1.55
135,2004-05-03,1.6
136,2004-05-04,1.57
137,2004-05-05,1.56
138,2004-05-06,1.61
139,2004-05-07,1.83
140,2004-05-10,1.85
141,2004-05-11,1.83
142,2004-05-12,1.81
143,2004-05-13,1.84
144,2004-05-14,1.81
145,2004-05-17,1.8
146,2004-05-18,1.83
147,2004-05-19,1.85
148,2004-05-20,1.81
149,2004-05-21,1.84
150,2004-05-24,1.86
151,2004-05-25,1.84
152,2004-05-26,1.81
153,2004-05-27,1.77
154,2004-05-28,1.83
155,2004-06-01,1.89
156,2004-06-02,1.92
157,2004-06-03,1.91
158,2004-06-04,1.97
159,2004-06-07,1.96
160,2004-06-08,2.02
161,2004-06-09,2.14
162,2004-06-10,2.14
163,2004-06-14,2.25
164,2004-06-15,2.16
165,2004-06-16,2.24
166,2004-06-17,2.21
167,2004-06-18,2.24
168,2004-06-21,2.17
169,2004-06-22,2.21
170,2004-06-23,2.15
171,2004-06-24,2.11
172,2004-06-25,2.14
173,2004-06-28,2.3
174,2004-06-29,2.2
175,2004-06-30,2.09
176,2004-07-01,2.07
177,2004-07-02,2.02
178,2004-07-06,2.15
179,2004-07-07,2.0
180,2004-07-08,1.99
181,2004-07-09,2.0
182,2004-07-12,2.02
183,2004-07-13,2.05
184,2004-07-14,2.08
185,2004-07-15,2.11
186,2004-07-16,2.08
187,2004-07-19,2.1
188,2004-07-20,2.13
189,2004-07-21,2.14
190,2004-07-22,2.12
191,2004-07-23,2.12
192,2004-07-26,2.18
193,2004-07-27,2.19
194,2004-07-28,2.17
195,2004-07-29,2.15
196,2004-07-30,2.13
197,2004-08-02,2.12
198,2004-08-03,2.11
199,2004-08-04,2.11
200,2004-08-05,2.09
201,2004-08-06,1.91
202,2004-08-09,1.97
203,2004-08-10,2.01
204,2004-08-11,2.0
205,2004-08-12,1.99
206,2004-08-13,1.97
207,2004-08-16,2.01
208,2004-08-17,1.98
209,2004-08-18,1.97
210,2004-08-19,1.96
211,2004-08-20,1.98
212,2004-08-23,2.03
213,2004-08-24,2.03
214,2004-08-25,2.03
215,2004-08-26,2.02
216,2004-08-27,2.03
217,2004-08-30,2.04
218,2004-08-31,1.99
219,2004-09-01,1.99
220,2004-09-02,2.02
221,2004-09-03,2.12
222,2004-09-07,2.13
223,2004-09-08,2.09
224,2004-09-09,2.09
225,2004-09-10,2.08
226,2004-09-13,2.1
227,2004-09-14,2.08
228,2004-09-15,2.09
229,2004-09-16,2.06
230,2004-09-17,2.11
231,2004-09-20,2.1
232,2004-09-21,2.12
233,2004-09-22,2.12
234,2004-09-23,2.16
235,2004-09-24,2.2
236,2004-09-27,2.2
237,2004-09-28,2.18
238,2004-09-29,2.2
239,2004-09-30,2.21
240,2004-10-01,2.21
241,2004-10-04,2.25
242,2004-10-05,2.23
243,2004-10-06,2.26
244,2004-10-07,2.26
245,2004-10-08,2.21
246,2004-10-12,2.2
247,2004-10-13,2.17
248,2004-10-14,2.15
249,2004-10-15,2.18
250,2004-10-18,2.21
251,2004-10-19,2.22
252,2004-10-20,2.2
253,2004-10-21,2.23
254,2004-10-22,2.23
255,2004-10-25,2.24
256,2004-10-26,2.24
257,2004-10-27,2.3
258,2004-10-28,2.29
259,2004-10-29,2.28
260,2004-11-01,2.34
261,2004-11-02,2.33
262,2004-11-03,2.32
263,2004-11-04,2.34
264,2004-11-05,2.44
265,2004-11-08,2.47
266,2004-11-09,2.46
267,2004-11-10,2.47
268,2004-11-12,2.49
269,2004-11-15,2.53
270,2004-11-16,2.54
271,2004-11-17,2.5
272,2004-11-18,2.51
273,2004-11-19,2.56
274,2004-11-22,2.6
275,2004-11-23,2.6
276,2004-11-24,2.6
277,2004-11-26,2.61
278,2004-11-29,2.66
279,2004-11-30,2.63
280,2004-12-01,2.6
281,2004-12-02,2.62
282,2004-12-03,2.58
283,2004-12-06,2.6
284,2004-12-07,2.6
285,2004-12-08,2.59
286,2004-12-09,2.59
287,2004-12-10,2.61
288,2004-12-13,2.66
289,2004-12-14,2.65
290,2004-12-15,2.64
291,2004-12-16,2.66
292,2004-12-17,2.67
293,2004-12-20,2.72
294,2004-12-21,2.72
295,2004-12-22,2.71
296,2004-12-23,2.7
297,2004-12-27,2.78
298,2004-12-28,2.77
299,2004-12-29,2.77
300,2004-12-30,2.76
301,2004-12-31,2.75
302,2005-01-03,2.79
303,2005-01-04,2.82
304,2005-01-05,2.83
305,2005-01-06,2.82
306,2005-01-07,2.82
307,2005-01-10,2.86
308,2005-01-11,2.86
309,2005-01-12,2.84
310,2005-01-13,2.84
311,2005-01-14,2.87
312,2005-01-18,2.9
313,2005-01-19,2.88
314,2005-01-20,2.85
315,2005-01-21,2.83
316,2005-01-24,2.86
317,2005-01-25,2.88
318,2005-01-26,2.9
319,2005-01-27,2.91
320,2005-01-28,2.89
321,2005-01-31,2.96
322,2005-02-01,2.95
323,2005-02-02,2.95
324,2005-02-03,2.96
325,2005-02-04,2.93
326,2005-02-07,2.96
327,2005-02-08,2.97
328,2005-02-09,2.93
329,2005-02-10,2.96
330,2005-02-11,3.0
331,2005-02-14,3.03
332,2005-02-15,3.03
333,2005-02-16,3.05
334,2005-02-17,3.03
335,2005-02-18,3.09
336,2005-02-22,3.12
337,2005-02-23,3.12
338,2005-02-24,3.13
339,2005-02-25,3.15
340,2005-02-28,3.2
341,2005-03-01,3.2
342,2005-03-02,3.19
343,2005-03-03,3.19
344,2005-03-04,3.2
345,2005-03-07,3.22
346,2005-03-08,3.23
347,2005-03-09,3.24
348,2005-03-10,3.25
349,2005-03-11,3.28
350,2005-03-14,3.32
351,2005-03-15,3.32
352,2005-03-16,3.3
353,2005-03-17,3.29
354,2005-03-18,3.32
355,2005-03-21,3.33
356,2005-03-22,3.4
357,2005-03-23,3.38
358,2005-03-24,3.41
359,2005-03-28,3.43
360,2005-03-29,3.41
361,2005-03-30,3.39
362,2005-03-31,3.35
363,2005-04-01,3.34
364,2005-04-04,3.34
365,2005-04-05,3.34
366,2005-04-06,3.31
367,2005-04-07,3.32
368,2005-04-08,3.35
369,2005-04-11,3.37
370,2005-04-12,3.34
371,2005-04-13,3.32
372,2005-04-14,3.3
373,2005-04-15,3.26
374,2005-04-18,3.29
375,2005-04-19,3.26
376,2005-04-20,3.25
377,2005-04-21,3.31
378,2005-04-22,3.3
379,2005-04-25,3.34
380,2005-04-26,3.35
381,2005-04-27,3.33
382,2005-04-28,3.3
383,2005-04-29,3.33
384,2005-05-02,3.34
385,2005-05-03,3.35
386,2005-05-04,3.32
387,2005-05-05,3.29
388,2005-05-06,3.37
389,2005-05-09,3.4
390,2005-05-10,3.37
391,2005-05-11,3.35
392,2005-05-12,3.34
393,2005-05-13,3.29
394,2005-05-16,3.33
395,2005-05-17,3.32
396,2005-05-18,3.29
397,2005-05-19,3.31
398,2005-05-20,3.35
399,2005-05-23,3.35
400,2005-05-24,3.32
401,2005-05-25,3.32
402,2005-05-26,3.31
403,2005-05-27,3.31
404,2005-05-31,3.32
405,2005-06-01,3.25
406,2005-06-02,3.26
407,2005-06-03,3.28
408,2005-06-06,3.3
409,2005-06-07,3.28
410,2005-06-08,3.3
411,2005-06-09,3.31
412,2005-06-10,3.33
413,2005-06-13,3.38
414,2005-06-14,3.39
415,2005-06-15,3.39
416,2005-06-16,3.38
417,2005-06-17,3.39
418,2005-06-20,3.42
419,2005-06-21,3.42
420,2005-06-22,3.37
421,2005-06-23,3.39
422,2005-06-24,3.38
423,2005-06-27,3.42
424,2005-06-28,3.46
425,2005-06-29,3.44
426,2005-06-30,3.45
427,2005-07-01,3.51
428,2005-07-05,3.55
429,2005-07-06,3.53
430,2005-07-07,3.48
431,2005-07-08,3.52
432,2005-07-11,3.58
433,2005-07-12,3.59
434,2005-07-13,3.59
435,2005-07-14,3.6
436,2005-07-15,3.61
437,2005-07-18,3.66
438,2005-07-19,3.65
439,2005-07-20,3.66
440,2005-07-21,3.72
441,2005-07-22,3.72
442,2005-07-25,3.77
443,2005-07-26,3.76
444,2005-07-27,3.77
445,2005-07-28,3.75
446,2005-07-29,3.8
447,2005-08-01,3.83
448,2005-08-02,3.84
449,2005-08-03,3.82
450,2005-08-04,3.83
451,2005-08-05,3.87
452,2005-08-08,3.93
453,2005-08-09,3.9
454,2005-08-10,3.9
455,2005-08-11,3.89
456,2005-08-12,3.88
457,2005-08-15,3.91
458,2005-08-16,3.88
459,2005-08-17,3.89
460,2005-08-18,3.86
461,2005-08-19,3.89
462,2005-08-22,3.89
463,2005-08-23,3.88
464,2005-08-24,3.87
465,2005-08-25,3.87
466,2005-08-26,3.9
467,2005-08-29,3.91
468,2005-08-30,3.85
469,2005-08-31,3.77
470,2005-09-01,3.66
471,2005-09-02,3.67
472,2005-09-06,3.73
473,2005-09-07,3.77
474,2005-09-08,3.77
475,2005-09-09,3.78
476,2005-09-12,3.83
477,2005-09-13,3.81
478,2005-09-14,3.81
479,2005-09-15,3.81
480,2005-09-16,3.86
481,2005-09-19,3.87
482,2005-09-20,3.92
483,2005-09-21,3.88
484,2005-09-22,3.86
