time,open,high,low,close
2002-01-02T14:30:00Z,66.76,66.76,66.76,66.76
2002-01-03T14:30:00Z,75.25,75.25,75.25,75.25
2002-01-04T14:30:00Z,77.5,77.5,77.5,77.5
2002-01-07T14:30:00Z,72.42,72.42,72.42,72.42
2002-01-08T14:30:00Z,73.39,73.39,73.39,73.39
2002-01-09T14:30:00Z,69.81,69.81,69.81,69.81
2002-01-10T14:30:00Z,67.76,67.76,67.76,67.76
2002-01-11T14:30:00Z,61.84,61.84,61.84,61.84
2002-01-14T14:30:00Z,53.46,53.46,53.46,53.46
2002-01-15T14:30:00Z,54.41,54.41,54.41,54.41
2002-01-16T14:30:00Z,45.65,45.65,45.65,45.65
2002-01-17T14:30:00Z,50.33,50.33,50.33,50.33
2002-01-18T14:30:00Z,44.06,44.06,44.06,44.06
2002-01-22T14:30:00Z,39.88,39.88,39.88,39.88
2002-01-23T14:30:00Z,45.6,45.6,45.6,45.6
2002-01-24T14:30:00Z,46.93,46.93,46.93,46.93
2002-01-25T14:30:00Z,47.56,47.56,47.56,47.56
2002-01-28T14:30:00Z,48.58,48.58,48.58,48.58
2002-01-29T14:30:00Z,39.89,39.89,39.89,39.89
2002-01-30T14:30:00Z,44.42,44.42,44.42,44.42
2002-01-31T14:30:00Z,50.52,50.52,50.52,50.52
2002-02-01T14:30:00Z,48.93,48.93,48.93,48.93
2002-02-04T14:30:00Z,40.13,40.13,40.13,40.13
2002-02-05T14:30:00Z,38.43,38.43,38.43,38.43
2002-02-06T14:30:00Z,35.42,35.42,35.42,35.42
2002-02-07T14:30:00Z,32.52,32.52,32.52,32.52
2002-02-08T14:30:00Z,40.4,40.4,40.4,40.4
2002-02-11T14:30:00Z,46.09,46.09,46.09,46.09
2002-02-12T14:30:00Z,47.4,47.4,47.4,47.4
2002-02-13T14:30:00Z,52.59,52.59,52.59,52.59
2002-02-14T14:30:00Z,49.11,49.11,49.11,49.11
2002-02-15T14:30:00Z,47.76,47.76,47.76,47.76
2002-02-19T14:30:00Z,40.11,40.11,40.11,40.11
2002-02-20T14:30:00Z,45.89,45.89,45.89,45.89
2002-02-21T14:30:00Z,40.21,40.21,40.21,40.21
2002-02-22T14:30:00Z,46.81,46.81,46.81,46.81
2002-02-25T14:30:00Z,50.48,50.48,50.48,50.48
2002-02-26T14:30:00Z,52.76,52.76,52.76,52.76
2002-02-27T14:30:00Z,54.68,54.68,54.68,54.68
2002-02-28T14:30:00Z,54.59,54.59,54.59,54.59
2002-03-01T14:30:00Z,64.45,64.45,64.45,64.45
2002-03-04T14:30:00Z,70.26,70.26,70.26,70.26
2002-03-05T14:30:00Z,71.55,71.55,71.55,71.55
2002-03-06T14:30:00Z,75.88,75.88,75.88,75.88
2002-03-07T14:30:00Z,75.19,75.19,75.19,75.19
2002-03-08T14:30:00Z,75.84,75.84,75.84,75.84
2002-03-11T14:30:00Z,78.58,78.58,78.58,78.58
2002-03-12T14:30:00Z,74.7,74.7,74.7,74.7
2002-03-13T14:30:00Z,71.7,71.7,71.7,71.7
2002-03-14T14:30:00Z,72.5,72.5,72.5,72.5
2002-03-15T14:30:00Z,73.41,73.41,73.41,73.41
2002-03-18T14:30:00Z,74.59,74.59,74.59,74.59
