,Date,Close
0,2022-11-28,22.528482
1,2022-11-25,22.985056
2,2022-11-24,0.0
3,2022-11-23,22.387733
4,2022-11-22,21.473751
5,2022-11-21,21.791044
6,2022-11-18,21.876873
7,2022-11-17,21.56786
8,2022-11-16,20.715038
9,2022-11-15,20.407272
10,2022-11-14,20.654476
11,2022-11-11,19.85162
12,2022-11-10,20.241703
13,2022-11-09,19.924269
14,2022-11-08,19.25655
15,2022-11-07,18.264517
16,2022-11-03,18.059605
17,2022-11-02,18.456392
18,2022-11-01,18.285555
19,2022-10-31,18.614914
20,2022-10-30,18.905582
21,2022-10-27,18.653015
22,2022-10-26,18.642792
23,2022-10-25,18.92845
24,2022-10-24,19.371777
25,2022-10-23,19.492786
26,2022-10-20,19.41211
27,2022-10-19,18.967201
28,2022-10-18,19.023962
29,2022-10-17,19.91065
30,2022-10-16,19.389189
31,2022-10-13,19.176497
32,2022-10-12,18.740883
33,2022-10-11,19.139454
34,2022-10-10,18.787912
35,2022-10-09,18.295843
36,2022-10-06,18.356
37,2022-10-05,19.352177
38,2022-10-04,19.500912
39,2022-10-03,19.892511
40,2022-10-02,20.242737
41,2022-09-29,20.913322
42,2022-09-28,20.417334
43,2022-09-27,20.211807
44,2022-09-26,20.722292
45,2022-09-25,21.161518
46,2022-09-22,20.895353
47,2022-09-21,20.011978
48,2022-09-20,20.06993
49,2022-09-19,19.65305
50,2022-09-18,19.435436
51,2022-09-15,19.64164
52,2022-09-14,19.569918
53,2022-09-13,19.173824
54,2022-09-12,19.528118
55,2022-09-11,19.686716
56,2022-09-08,19.774166
57,2022-09-07,20.445295
58,2022-09-06,20.933609
59,2022-09-05,19.571825
60,2022-09-04,0.0
61,2022-09-01,19.682283
62,2022-08-31,19.58896
63,2022-08-30,19.126745
64,2022-08-29,18.804016
65,2022-08-28,17.901247
66,2022-08-25,18.655706
67,2022-08-24,18.998055
68,2022-08-23,18.419224
69,2022-08-22,18.634521
70,2022-08-21,19.217554
71,2022-08-18,19.253057
72,2022-08-17,19.39558
73,2022-08-16,19.978436
74,2022-08-15,20.492315
75,2022-08-14,19.923944
76,2022-08-11,19.530893
77,2022-08-10,18.970745
78,2022-08-09,19.532253
79,2022-08-08,19.823204
80,2022-08-07,19.687086
81,2022-08-04,19.917986
82,2022-08-03,20.19991
83,2022-08-02,19.39113
84,2022-08-01,18.757679
85,2022-07-31,18.841198
86,2022-07-28,17.875685
87,2022-07-27,18.152874
88,2022-07-26,17.675303
89,2022-07-25,18.084858
90,2022-07-24,17.776628
91,2022-07-21,18.237593
92,2022-07-20,17.775818
93,2022-07-19,16.619402
94,2022-07-18,16.407598
95,2022-07-17,16.658869
96,2022-07-14,17.44441
97,2022-07-13,17.795992
98,2022-07-12,18.008307
99,2022-07-11,17.98101
100,2022-07-10,16.620234
101,2022-07-07,16.610363
102,2022-07-06,16.917162
103,2022-07-05,17.607836
104,2022-07-04,17.706533
105,2022-07-03,0.0
106,2022-06-30,16.590427
107,2022-06-29,17.058434
108,2022-06-28,16.521223
109,2022-06-27,16.262527
110,2022-06-26,16.6186
111,2022-06-23,16.971752
112,2022-06-22,17.509352
113,2022-06-21,17.273754
114,2022-06-20,16.580208
115,2022-06-19,0.0
116,2022-06-16,16.75429
117,2022-06-15,15.696063
118,2022-06-14,15.742781
119,2022-06-13,15.214832
120,2022-06-12,15.116183
121,2022-06-09,15.50924
122,2022-06-08,15.215209
123,2022-06-07,15.165834
124,2022-06-06,15.471903
125,2022-06-05,15.520675
126,2022-06-02,15.524523
127,2022-06-01,15.9707365
128,2022-05-31,15.992538
129,2022-05-30,16.069592
130,2022-05-29,0.0
131,2022-05-26,16.088469
132,2022-05-25,16.19248
133,2022-05-24,16.733435
134,2022-05-23,16.990982
135,2022-05-22,16.754013
136,2022-05-19,16.266006
137,2022-05-18,16.40852
138,2022-05-17,16.569942
139,2022-05-16,16.176155
140,2022-05-15,15.880035
141,2022-05-12,16.358042
142,2022-05-11,17.184586
143,2022-05-10,17.525305
144,2022-05-09,18.443264
145,2022-05-08,18.014357
146,2022-05-05,17.137651
147,2022-05-04,17.310179
148,2022-05-03,17.317503
149,2022-05-02,18.248219
150,2022-05-01,17.702768
151,2022-04-28,18.237654
152,2022-04-27,17.926157
153,2022-04-26,18.485592
154,2022-04-25,18.696165
155,2022-04-24,19.212502
156,2022-04-21,18.91839
157,2022-04-20,18.7388
158,2022-04-19,19.000486
159,2022-04-18,19.068838
160,2022-04-17,18.324554
161,2022-04-13,18.428238
162,2022-04-12,19.002398
163,2022-04-11,19.60338
164,2022-04-10,20.620426
165,2022-04-07,19.75982
166,2022-04-06,20.137457
167,2022-04-05,19.93557
168,2022-04-04,18.859358
169,2022-04-03,18.679317
170,2022-03-31,19.332125
171,2022-03-30,19.437574
172,2022-03-29,17.932665
173,2022-03-28,18.342287
174,2022-03-27,18.305021
175,2022-03-24,17.153645
176,2022-03-23,17.461279
177,2022-03-22,16.850256
178,2022-03-21,17.185934
179,2022-03-20,17.201212
180,2022-03-17,18.416428
181,2022-03-16,18.859001
182,2022-03-15,20.075758
183,2022-03-14,19.99689
184,2022-03-13,19.023396
185,2022-03-11,18.135004
186,2022-03-10,18.846445
187,2022-03-09,18.26955
188,2022-03-08,16.492321
189,2022-03-07,16.69933
190,2022-03-04,16.98738
191,2022-03-03,17.966007
192,2022-03-02,17.367992
193,2022-03-01,18.783484
194,2022-02-28,19.843292
195,2022-02-25,20.597227
196,2022-02-24,20.742376
197,2022-02-23,20.729641
198,2022-02-22,20.639957
199,2022-02-18,20.8477
200,2022-02-17,20.713818
201,2022-02-16,19.967968
202,2022-02-15,20.145542
203,2022-02-14,19.568405
204,2022-02-11,19.77229
205,2022-02-10,20.429462
206,2022-02-09,20.468435
207,2022-02-08,20.440912
208,2022-02-07,19.936487
209,2022-02-04,19.57101
210,2022-02-03,19.973413
211,2022-02-02,20.498526
212,2022-02-01,20.411566
213,2022-01-31,20.363018
214,2022-01-28,20.558628
215,2022-01-27,20.705462
216,2022-01-26,20.949057
217,2022-01-25,21.643692
218,2022-01-24,22.10659
219,2022-01-21,21.515152
220,2022-01-20,21.202532
221,2022-01-19,21.194801
222,2022-01-18,21.21386
223,2022-01-14,21.671438
224,2022-01-13,22.1773
225,2022-01-12,22.110357
226,2022-01-11,22.391037
227,2022-01-10,22.988623
228,2022-01-07,22.775665
229,2022-01-06,22.510696
230,2022-01-05,23.43738
231,2022-01-04,23.561502
232,2022-01-03,23.651419
233,2021-12-31,24.298632
234,2021-12-30,23.544617
235,2021-12-29,23.577587
236,2021-12-28,23.82469
237,2021-12-27,23.92616
238,2021-12-23,24.54533
239,2021-12-22,24.760857
240,2021-12-21,25.1392
241,2021-12-20,26.28902
242,2021-12-17,25.45583
243,2021-12-16,24.821775
244,2021-12-15,24.87089
245,2021-12-14,25.030396
246,2021-12-13,25.05681
247,2021-12-10,24.876518
248,2021-12-09,25.015505
249,2021-12-08,24.646214
250,2021-12-07,24.74115
251,2021-12-06,25.579222
252,2021-12-03,26.894053
253,2021-12-02,26.47669
254,2021-12-01,27.170961
255,2021-11-30,26.799637
256,2021-11-29,25.47963
257,2021-11-26,26.196625
258,2021-11-25,22.957838
259,2021-11-24,22.759281
