date,gold/oil,1Y_bond,%50da,%20da,vix,PCR,open,high,low,close,volume,return,12w_return,4w_return,cci,mi,rsi,don
2003-10-16,12.118644,1.34,79.25,74.6,17.190000534057617,0.65,9798.6796875,9823.419921875,9730.3798828125,9791.7197265625,209300000,-0.0011557707397938932,0.06568997135194299,0.025778163442814694,109.65581148629317,25.19318423877496,65.04402589924993,0.905914008155622
2003-10-17,12.118644,1.31,75.05,66.57,17.6200008392334,0.64,9791.8603515625,9815.7900390625,9701.7197265625,9721.7900390625,191120000,-0.007141716619022298,0.06871725647989035,0.006487142942502189,85.81478130596132,25.147333359491736,59.13234455834739,0.7930404518220895
2003-10-20,12.647449,1.32,74.64,67.48,17.040000915527344,0.62,9721.5,9777.9404296875,9705.5703125,9777.9404296875,173840000,0.00577572549904759,0.06764138267543007,0.01380223922004764,80.44138495281196,25.142463796843057,62.11018843865583,0.883672835662798
2003-10-21,12.917781,1.32,75.35,69.65,16.549999237060547,0.7,9778.3095703125,9784.3095703125,9736.6796875,9747.6396484375,207690000,-0.0030988919873148335,0.060189792734964165,0.022256986192501937,74.08106178863828,25.009261921957663,59.58694557438093,0.8347643239613561
2003-10-22,12.69637,1.28,68.42,56.96,17.670000076293945,0.98,9741.98046875,9742.0498046875,9580.240234375,9598.240234375,226890000,-0.015326727233546,0.05330369801987089,0.0023183064421139488,17.96143687794277,25.09512690434759,49.013997834671954,0.5936186277306911
2003-10-23,12.894562,1.3,66.56,53.29,17.68000030517578,0.85,9597.2001953125,9622.16015625,9551.73046875,9613.1298828125,198250000,0.0015512894107583275,0.03538769800366026,0.01990556711020064,-9.005952480026501,25.05568815772149,49.96684465033146,0.6176520194385641
2003-10-24,12.894562,1.27,63.66,47.49,17.709999084472656,0.91,9600.98046875,9600.98046875,9497.7197265625,9582.4599609375,297430000,-0.0031904200035657304,0.03409592212210755,0.025524510057518546,-37.37505235165065,25.073226937438825,47.97788428475875,0.5681476776023039
2003-10-27,12.964572,1.31,67.41,53.61,18.049999237060547,0.64,9584.5400390625,9663.7900390625,9584.5400390625,9608.16015625,193710000,0.002682003933986321,0.04385919402395677,0.031684477707659475,-12.57484807602221,24.979180577797305,49.78179014139284,0.6096303804012869
2003-10-28,12.963465,1.25,71.8,62.49,16.81999969482422,0.75,9609.7197265625,9749.9404296875,9609.7197265625,9748.3095703125,232950000,0.014586498537010106,0.05959313017475809,0.03923879631447669,34.158545139117045,25.031865478292637,58.27808600397916,0.822577759908138
2003-10-29,13.379453,1.29,72.98,64.98,16.43000030517578,0.58,9747.0498046875,9787.26953125,9724.6796875,9774.5302734375,224900000,0.002689769229821337,0.0585599081837902,0.05385094287951531,74.09555127954937,24.89025305772583,59.65343433099524,0.8212908327475861
