Date,Close
"Nov 28, 2022",77.24
"Nov 25, 2022",76.28
"Nov 24, 2022",-
"Nov 23, 2022",77.94
"Nov 22, 2022",80.95
"Nov 21, 2022",79.73
"Nov 18, 2022",80.08
"Nov 17, 2022",81.64
"Nov 16, 2022",85.59
"Nov 15, 2022",86.92
"Nov 14, 2022",85.87
"Nov 11, 2022",88.96
"Nov 10, 2022",86.47
"Nov 09, 2022",85.83
"Nov 08, 2022",88.91
"Nov 07, 2022",91.79
"Nov 03, 2022",92.61
"Nov 02, 2022",88.17
"Nov 01, 2022",90
"Oct 31, 2022",88.37
"Oct 30, 2022",86.53
"Oct 27, 2022",87.9
"Oct 26, 2022",89.08
"Oct 25, 2022",87.91
"Oct 24, 2022",85.32
"Oct 23, 2022",84.58
"Oct 20, 2022",85.05
"Oct 19, 2022",85.98
"Oct 18, 2022",85.55
"Oct 17, 2022",82.82
"Oct 16, 2022",85.46
"Oct 13, 2022",85.61
"Oct 12, 2022",89.11
"Oct 11, 2022",87.27
"Oct 10, 2022",89.35
"Oct 09, 2022",91.13
"Oct 06, 2022",92.64
"Oct 05, 2022",88.45
"Oct 04, 2022",87.76
"Oct 03, 2022",86.52
"Oct 02, 2022",83.63
"Sept 29, 2022",79.49
"Sept 28, 2022",81.23
"Sept 27, 2022",82.15
"Sept 26, 2022",78.5
"Sept 25, 2022",76.71
"Sept 22, 2022",78.74
"Sept 21, 2022",83.49
"Sept 20, 2022",82.94
"Sept 19, 2022",84.45
"Sept 18, 2022",85.73
"Sept 15, 2022",85.11
"Sept 14, 2022",85.1
"Sept 13, 2022",88.48
"Sept 12, 2022",87.31
"Sept 11, 2022",87.78
"Sept 08, 2022",86.79
"Sept 07, 2022",83.54
"Sept 06, 2022",81.94
"Sept 05, 2022",86.88
"Sept 04, 2022",-
"Sept 01, 2022",86.87
"Aug 31, 2022",86.61
"Aug 30, 2022",89.55
"Aug 29, 2022",91.64
"Aug 28, 2022",97.01
"Aug 25, 2022",93.06
"Aug 24, 2022",92.52
"Aug 23, 2022",94.89
"Aug 22, 2022",93.74
"Aug 21, 2022",90.23
"Aug 18, 2022",90.77
"Aug 17, 2022",90.5
"Aug 16, 2022",88.11
"Aug 15, 2022",86.53
"Aug 14, 2022",89.41
"Aug 11, 2022",92.09
"Aug 10, 2022",94.34
"Aug 09, 2022",91.93
"Aug 08, 2022",90.5
"Aug 07, 2022",90.76
"Aug 04, 2022",89.01
"Aug 03, 2022",88.54
"Aug 02, 2022",90.66
"Aug 01, 2022",94.42
"Jul 31, 2022",93.89
"Jul 28, 2022",98.62
"Jul 27, 2022",96.42
"Jul 26, 2022",97.26
"Jul 25, 2022",94.98
"Jul 24, 2022",96.7
"Jul 21, 2022",94.7
"Jul 20, 2022",96.35
"Jul 19, 2022",102.26
"Jul 18, 2022",104.22
"Jul 17, 2022",102.6
"Jul 14, 2022",97.59
"Jul 13, 2022",95.78
"Jul 12, 2022",96.3
"Jul 11, 2022",95.84
"Jul 10, 2022",104.09
"Jul 07, 2022",104.79
"Jul 06, 2022",102.73
"Jul 05, 2022",98.53
"Jul 04, 2022",99.5
"Jul 03, 2022",-
"Jun 30, 2022",108.43
"Jun 29, 2022",105.76
"Jun 28, 2022",109.78
"Jun 27, 2022",111.76
"Jun 26, 2022",109.57
"Jun 23, 2022",107.62
"Jun 22, 2022",104.27
"Jun 21, 2022",106.19
"Jun 20, 2022",110.65
"Jun 19, 2022",110.27
"Jun 16, 2022",109.56
"Jun 15, 2022",117.59
"Jun 14, 2022",115.31
"Jun 13, 2022",118.93
"Jun 12, 2022",120.93
"Jun 09, 2022",120.67
"Jun 08, 2022",121.51
