time,open,high,low,close
2002-01-02T14:30:00Z,74.52,74.52,74.52,74.52
2002-01-03T14:30:00Z,77.62,77.62,77.62,77.62
2002-01-04T14:30:00Z,78.53,78.53,78.53,78.53
2002-01-07T14:30:00Z,76.73,76.73,76.73,76.73
2002-01-08T14:30:00Z,77.56,77.56,77.56,77.56
2002-01-09T14:30:00Z,75.7,75.7,75.7,75.7
2002-01-10T14:30:00Z,74.82,74.82,74.82,74.82
2002-01-11T14:30:00Z,72.38,72.38,72.38,72.38
2002-01-14T14:30:00Z,67.42,67.42,67.42,67.42
2002-01-15T14:30:00Z,68.47,68.47,68.47,68.47
2002-01-16T14:30:00Z,62.64,62.64,62.64,62.64
2002-01-17T14:30:00Z,66.08,66.08,66.08,66.08
2002-01-18T14:30:00Z,60.76,60.76,60.76,60.76
2002-01-22T14:30:00Z,56.39,56.39,56.39,56.39
2002-01-23T14:30:00Z,60.47,60.47,60.47,60.47
2002-01-24T14:30:00Z,61.46,61.46,61.46,61.46
2002-01-25T14:30:00Z,61.08,61.08,61.08,61.08
2002-01-28T14:30:00Z,60.63,60.63,60.63,60.63
2002-01-29T14:30:00Z,53.91,53.91,53.91,53.91
2002-01-30T14:30:00Z,56.36,56.36,56.36,56.36
2002-01-31T14:30:00Z,59.28,59.28,59.28,59.28
2002-02-01T14:30:00Z,58.05,58.05,58.05,58.05
2002-02-04T14:30:00Z,51.08,51.08,51.08,51.08
2002-02-05T14:30:00Z,49.66,49.66,49.66,49.66
2002-02-06T14:30:00Z,46.27,46.27,46.27,46.27
2002-02-07T14:30:00Z,43.33,43.33,43.33,43.33
2002-02-08T14:30:00Z,47.6,47.6,47.6,47.6
2002-02-11T14:30:00Z,50.77,50.77,50.77,50.77
2002-02-12T14:30:00Z,50.35,50.35,50.35,50.35
2002-02-13T14:30:00Z,52.96,52.96,52.96,52.96
2002-02-14T14:30:00Z,50.85,50.85,50.85,50.85
2002-02-15T14:30:00Z,50.44,50.44,50.44,50.44
2002-02-19T14:30:00Z,45.59,45.59,45.59,45.59
2002-02-20T14:30:00Z,48.87,48.87,48.87,48.87
